begins_at,open,high,low,close
2026-03-04 20:00:00+00:00,686.815,687.005,685.06,686.28
2026-03-05 16:00:00+00:00,682.12,682.42,675.61,677.07
2026-03-05 20:00:00+00:00,677.075,682.23,676.39,681.99
2026-03-06 16:00:00+00:00,675.19,676.1,672.03,675.01
2026-03-06 20:00:00+00:00,675.0,675.97,671.55,671.68
2026-03-09 16:00:00+00:00,669.46,679.92,668.09,678.316
2026-03-10 16:00:00+00:00,681.39,683.36,676.23,677.05
2026-03-11 16:00:00+00:00,673.79,676.77,673.34,676.35
2026-03-12 16:00:00+00:00,669.31,671.31,666.21,666.8699
2026-03-13 16:00:00+00:00,663.37,665.23,661.36,662.3
2026-03-16 16:00:00+00:00,668.48,672.07,667.12,668.95
2026-03-17 16:00:00+00:00,670.46,672.3,670.435,670.747
2026-03-18 16:00:00+00:00,667.03,667.58,661.23,661.57
2026-03-19 16:00:00+00:00,657.91,662.98,655.61,659.72
2026-03-20 16:00:00+00:00,652.96,653.99,644.72,648.52
2026-03-23 16:00:00+00:00,655.99,659.65,653.99,655.38
2026-03-24 16:00:00+00:00,655.05,656.59,652.38,653.18
2026-03-25 16:00:00+00:00,656.905,658.79,655.58,656.72
2026-03-26 16:00:00+00:00,651.49,651.69,644.83,645.1
2026-03-27 16:00:00+00:00,640.3,640.43,633.105,634.08
2026-03-30 16:00:00+00:00,637.34,637.46,629.29,632.02
2026-03-31 16:00:00+00:00,640.5367,651.53,640.4301,650.235
2026-04-01 16:00:00+00:00,657.815,658.52,653.667,655.18
2026-04-02 16:00:00+00:00,653.985,656.1,652.17,655.88
2026-04-06 16:00:00+00:00,657.868,658.92,655.52,658.89
2026-04-07 16:00:00+00:00,653.82,659.59,653.4122,659.26
2026-04-08 16:00:00+00:00,674.89,676.6,672.83,675.86
2026-04-09 16:00:00+00:00,678.82,681.15,678.48,679.875
2026-04-10 16:00:00+00:00,679.46,680.11,678.45,679.31
2026-04-13 16:00:00+00:00,679.4701,686.295,679.015,686.0
2026-04-14 16:00:00+00:00,692.85,694.58,692.13,693.6331
2026-04-15 16:00:00+00:00,697.01,700.11,695.7,699.99
2026-04-16 16:00:00+00:00,702.225,702.78,699.4737,701.55
2026-04-17 16:00:00+00:00,711.3,712.38,709.03,710.04
2026-04-20 16:00:00+00:00,707.4502,708.1,707.04,707.75
2026-04-21 16:00:00+00:00,707.09,707.87,702.64,704.15
2026-04-22 16:00:00+00:00,710.0301,711.45,708.88,711.21
2026-04-23 16:00:00+00:00,711.105,711.24,702.2803,708.46
2026-04-24 16:00:00+00:00,713.77,714.47,712.72,713.97
2026-04-27 16:00:00+00:00,713.68,714.873,713.67,714.8512
2026-04-28 16:00:00+00:00,709.98,712.19,709.36,711.68
2026-04-29 16:00:00+00:00,710.05,711.62,708.37,711.58
2026-04-30 16:00:00+00:00,714.6,719.79,713.9,718.42
2026-05-01 16:00:00+00:00,723.36,723.61,720.47,720.65
2026-05-04 16:00:00+00:00,717.59,718.995,714.99,718.07
2026-05-05 16:00:00+00:00,723.04,725.04,722.98,723.71
2026-05-06 16:00:00+00:00,731.62,734.58,730.5289,733.77
2026-05-07 16:00:00+00:00,733.965,734.02,729.75,731.57
2026-05-08 16:00:00+00:00,736.88,738.07,736.105,737.53
2026-05-11 16:00:00+00:00,740.1,740.75,738.13,739.21
2026-05-12 16:00:00+00:00,732.49,738.84,731.83,738.2
2026-05-13 16:00:00+00:00,739.72,743.9,739.55,742.32
2026-05-14 16:00:00+00:00,749.37,749.37,746.307,748.09
2026-05-15 16:00:00+00:00,740.29,743.46,738.54,739.09
2026-05-18 16:00:00+00:00,736.4225,738.73,733.61,738.56
2026-05-19 16:00:00+00:00,733.0,737.63,732.33,733.79
2026-05-20 16:00:00+00:00,740.26,741.56,738.5112,741.3
2026-05-21 16:00:00+00:00,739.3,744.87,738.09,742.75
2026-05-22 16:00:00+00:00,747.6,748.94,744.96,745.59
2026-05-26 16:00:00+00:00,748.93,750.85,748.5,750.83
2026-05-27 16:00:00+00:00,749.09,751.13,748.22,750.48
2026-05-28 16:00:00+00:00,754.08,755.15,753.69,754.64
2026-05-29 16:00:00+00:00,756.425,757.73,755.13,756.41
2026-06-01 16:00:00+00:00,756.7,760.28,755.871,758.435
2026-06-02 16:00:00+00:00,759.71,760.01,758.625,759.46
2026-06-03 16:00:00+00:00,755.2,755.46,754.7,755.3
2026-06-04 16:00:00+00:00,755.35,758.31,755.2,757.06
2026-06-05 16:00:00+00:00,746.5681,746.59,735.525,737.43
2026-06-08 16:00:00+00:00,742.75,743.97,738.19,739.31
2026-06-09 16:00:00+00:00,729.08,737.665,722.59,737.05
2026-06-10 16:00:00+00:00,731.98,732.51,725.33,725.43
2026-06-11 16:00:00+00:00,728.06,740.0,725.26,737.6425
2026-06-12 16:00:00+00:00,738.85,743.0,738.17,741.63
2026-06-15 16:00:00+00:00,756.155,756.67,753.4,754.66
2026-06-16 16:00:00+00:00,753.4042,753.97,749.88,750.39
2026-06-17 16:00:00+00:00,750.645,751.03,739.25,741.27
2026-06-18 16:00:00+00:00,746.26,748.23,745.2,746.57
2026-06-22 16:00:00+00:00,744.62,745.74,743.13,744.37
2026-06-23 16:00:00+00:00,736.01,738.1,733.32,735.03
2026-06-24 16:00:00+00:00,738.34,738.85,730.855,733.07
2026-06-25 16:00:00+00:00,734.16,736.27,731.33,733.26
2026-06-26 16:00:00+00:00,735.4,735.86,716.58,729.09
2026-06-29 16:00:00+00:00,738.54,741.558,737.97,740.88
2026-06-30 16:00:00+00:00,745.8,748.02,745.76,746.33
2026-07-01 16:00:00+00:00,748.81,749.27,745.16,745.69
2026-07-02 16:00:00+00:00,744.63,745.58,740.03,744.8
2026-07-06 16:00:00+00:00,750.83,752.4,749.63,751.31
2026-07-07 16:00:00+00:00,747.38,749.34,746.0,747.69
2026-07-08 16:00:00+00:00,740.6814,746.14,740.61,745.34
2026-07-09 16:00:00+00:00,749.88,751.97,749.87,751.69
2026-07-10 16:00:00+00:00,752.925,755.42,752.8501,754.86
2026-07-13 16:00:00+00:00,751.225,751.8,748.03,749.1
2026-07-14 16:00:00+00:00,750.99,752.76,750.0,751.85
2026-07-15 16:00:00+00:00,752.64,754.9195,750.2,754.78
2026-07-16 16:00:00+00:00,752.18,752.23,748.35,748.375
2026-07-17 16:00:00+00:00,746.87,747.27,742.13,743.18
2026-07-20 16:00:00+00:00,746.0,747.005,741.5103,742.1
2026-07-21 16:00:00+00:00,748.09,749.04,748.09,748.31
2026-07-22 16:00:00+00:00,749.76,750.02,747.32,747.33
2026-07-23 16:00:00+00:00,738.18,739.72,735.72,738.24
2026-07-24 16:00:00+00:00,743.04,743.72,737.29,738.85
2026-07-27 16:00:00+00:00,737.4925,739.85,735.87,739.02
2026-07-28 16:00:00+00:00,742.205,742.7901,740.42,740.76
2026-07-29 16:00:00+00:00,733.77,742.67,729.1,729.54
2026-07-30 16:00:00+00:00,737.15,742.45,736.87,741.71
2026-07-31 16:00:00+00:00,743.09,748.895,742.46,746.82
2026-08-03 16:00:00+00:00,755.96,758.58,755.76,757.63
2026-08-04 16:00:00+00:00,768.42,773.41,768.34,771.28
2026-08-05 16:00:00+00:00,770.63,772.25,769.52,769.74
2026-08-06 16:00:00+00:00,768.16,769.785,767.46,768.56
2026-08-07 16:00:00+00:00,773.04,773.82,770.89,773.2
2026-08-10 16:00:00+00:00,774.34,774.435,771.89,773.06
2026-08-11 16:00:00+00:00,772.03,772.45,769.34,770.42
2026-08-12 16:00:00+00:00,772.015,773.63,771.97,772.54
2026-08-13 16:00:00+00:00,775.48,778.43,775.46,777.77
2026-08-14 16:00:00+00:00,776.24,776.82,775.4301,776.0
2026-08-17 16:00:00+00:00,775.295,775.61,772.51,772.68
2026-08-18 16:00:00+00:00,768.3558,768.87,766.92,767.42
2026-08-19 16:00:00+00:00,770.64,771.99,768.21,769.06
2026-08-20 16:00:00+00:00,765.84,766.64,762.05,762.65
2026-08-21 16:00:00+00:00,767.2,767.3299,765.06,765.69
2026-08-24 16:00:00+00:00,764.5201,765.22,763.05,763.46
2026-08-25 16:00:00+00:00,765.46,766.22,764.63,765.85
2026-08-26 16:00:00+00:00,765.33,767.35,763.93,765.95
2026-08-27 16:00:00+00:00,770.64,772.355,769.16,771.07
2026-08-28 16:00:00+00:00,771.08,771.65,768.3076,769.39
2026-08-31 16:00:00+00:00,765.42,767.995,764.98,766.95
2026-09-01 16:00:00+00:00,764.29,764.3392,759.48,761.65
2026-09-02 16:00:00+00:00,765.92,766.0899,764.35,765.14
2026-09-03 16:00:00+00:00,773.31,774.03,772.215,773.16
2026-09-04 16:00:00+00:00,769.955,771.32,769.13,770.23
2026-09-08 16:00:00+00:00,767.4,768.12,765.15,765.94
2026-09-09 16:00:00+00:00,762.17,763.4097,761.32,762.34
2026-09-10 16:00:00+00:00,758.55,759.85,757.2599,757.87
2026-09-11 16:00:00+00:00,765.73,766.33,764.04,764.195
2026-09-14 16:00:00+00:00,761.765,763.52,760.66,760.77
2026-09-15 16:00:00+00:00,757.115,758.06,756.52,757.38
2026-09-16 16:00:00+00:00,760.69,761.21,749.6,753.85
2026-09-17 16:00:00+00:00,762.55,763.57,761.61,762.64
2026-09-18 16:00:00+00:00,758.99,762.0,757.971,761.64
2026-09-21 16:00:00+00:00,770.735,774.89,770.519,773.53
2026-09-22 16:00:00+00:00,773.035,774.89,772.69,774.85
2026-09-23 16:00:00+00:00,768.58,769.045,766.5,767.75
2026-09-24 16:00:00+00:00,764.27,768.95,763.66,767.26
